seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination
1;500;10;10.0;0.544;-0.13814473581427936;-69.07236790713968;0.0013468069257600301;0.009749245368065753;144;19;OPTIMAL
1;500;10;10.0;0.584;-0.13814473581427936;-69.07236790713968;0.0013468069257600301;0.009749245368065753;144;19;OPTIMAL
1;500;10;10.0;0.553;-0.13814473581427936;-69.07236790713968;0.0013468069257600301;0.009749245368065753;144;19;OPTIMAL
1;500;10;15.0;0.221;-0.14867527673664496;-74.33763836832249;0.0010986799732418673;0.0073897960532335666;84;13;OPTIMAL
1;500;10;20.0;0.414;-0.1545959719494185;-77.29798597470925;0.0013842397940760365;0.008953918893365082;144;17;OPTIMAL
1;500;10;25.0;0.217;-0.15919517970865762;-79.59758985432882;0.0015283179054257356;0.009600277522364076;80;12;OPTIMAL
1;500;10;30.0;0.207;-0.16290618794640857;-81.45309397320429;0.0012811770898261132;0.00786450843873152;76;11;OPTIMAL
1;500;10;35.0;0.295;-0.1661365448766179;-83.06827243830894;0.0015627949007273323;0.009406689550983196;96;12;OPTIMAL
1;500;10;40.0;0.181;-0.1687257993646385;-84.36289968231925;0.00153503017644524;0.009097779842950036;65;11;OPTIMAL
1;500;10;10.0;0.556;-0.13814473581427936;-69.07236790713968;0.0013468069257600301;0.009749245368065753;144;19;OPTIMAL
2;500;10;10.0;10.285;-0.13418937296171474;-67.09468648085736;0.0013415521279578346;0.009997454331503508;496;42;OPTIMAL
3;500;10;10.0;1.027;-0.13727939653533194;-68.63969826766598;0.0013566626101070844;0.009882492525073977;205;22;OPTIMAL
4;500;10;10.0;9344.751;-0.1005317036242471;-50.26585181212355;0.0004662095832722729;0.004637438404652963;8268;482;OPTIMAL
5;500;10;10.0;8.504;-0.1342231442780281;-67.11157213901404;0.0012546735896377947;0.00934766948268534;455;39;OPTIMAL
6;500;10;10.0;25.711;-0.13390521720030293;-66.95260860015146;0.0012512079679469768;0.009343982214489446;816;63;OPTIMAL
7;500;10;10.0;984.253;-0.13250413288589466;-66.25206644294732;0.001322903607167858;0.009983866754609612;1185;78;OPTIMAL
8;500;10;10.0;60.404;-0.13142230472840918;-65.7111523642046;0.0012447949103077394;0.00947171724678068;1259;87;OPTIMAL
9;500;10;10.0;987.069;-0.13109565413274984;-65.54782706637492;0.0012965925386293209;0.009890431129901284;1282;82;OPTIMAL
10;500;10;10.0;0.976;-0.13721531271034962;-68.60765635517481;0.0013683557842303906;0.009972325662507352;208;25;OPTIMAL
11;500;10;10.0;3628.899;-0.10225826639261545;-51.12913319630773;0.0009216829298690221;0.009013285305759703;8393;480;OPTIMAL
2;500;10;10.0;10.057;-0.13418937296171474;-67.09468648085736;0.0013415521279578346;0.009997454331503508;496;42;OPTIMAL
3;500;10;10.0;1.001;-0.13727939653533194;-68.63969826766598;0.0013566626101070844;0.009882492525073977;205;22;OPTIMAL
4;500;10;10.0;876.915;-0.1005317036242471;-50.26585181212355;0.0004662095832722729;0.004637438404652963;8268;482;OPTIMAL
5;500;10;10.0;8.484;-0.1342231442780281;-67.11157213901404;0.0012546735896377947;0.00934766948268534;455;39;OPTIMAL
6;500;10;10.0;25.414;-0.13390521720030293;-66.95260860015146;0.0012512079679469768;0.009343982214489446;816;63;OPTIMAL
7;500;10;10.0;80.248;-0.13250413288589466;-66.25206644294732;0.001322903607167858;0.009983866754609612;1185;78;OPTIMAL
8;500;10;10.0;60.642;-0.13142230472840918;-65.7111523642046;0.0012447949103077394;0.00947171724678068;1259;87;OPTIMAL
9;500;10;10.0;85.632;-0.13109565413274984;-65.54782706637492;0.0012965925386293209;0.009890431129901284;1282;82;OPTIMAL
10;500;10;10.0;0.904;-0.13721531271034962;-68.60765635517481;0.0013683557842303906;0.009972325662507352;208;25;OPTIMAL
