seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination
2;100;10;10.0;1.675;-0.4464159373191212;-44.641593731912124;0.004117163948603675;0.009222708251252492;650;54;OPTIMAL
3;100;10;10.0;0.529;-0.4738757007481509;-47.38757007481509;0.004202654713745035;0.008868685832824769;337;34;OPTIMAL
4;100;10;10.0;0.219;-0.5035055135029887;-50.350551350298865;0.00458931339312918;0.009114723215641489;191;21;OPTIMAL
5;100;10;10.0;0.112;-0.48856049370023213;-48.856049370023214;0.004561889117651541;0.00933740893190311;138;16;OPTIMAL
6;100;10;10.0;0.139;-0.5083098936433135;-50.830989364331344;0.0049016702378723576;0.009643074626660548;156;18;OPTIMAL
7;100;10;10.0;0.151;-0.4984004981316101;-49.84004981316101;0.004806076629986389;0.009643001257027783;161;18;OPTIMAL
8;100;10;10.0;0.099;-0.5014466007623267;-50.144660076232675;0.0044480095033657685;0.00887035528130744;121;13;OPTIMAL
9;100;10;10.0;0.088;-0.49368651606775493;-49.368651606775494;0.004601279106304701;0.009320244642195592;113;15;OPTIMAL
10;100;10;10.0;0.062;-0.5089785364981211;-50.897853649812106;0.004593610496544276;0.009025155614909183;84;9;OPTIMAL
11;100;10;10.0;0.079;-0.4877829419374005;-48.77829419374005;0.0046753237889102794;0.009584844788422892;106;12;OPTIMAL
2;100;10;15.0;0.044;-0.5330126204059338;-53.30126204059338;0.0039796126155567935;0.007466263392649099;64;7;OPTIMAL
3;100;10;15.0;0.045;-0.5413289505306199;-54.13289505306199;0.0043477551417259175;0.008031632406624795;64;8;OPTIMAL
4;100;10;15.0;0.041;-0.5610876112736407;-56.10876112736407;0.005479435376356201;0.009765739371643151;57;6;OPTIMAL
5;100;10;15.0;0.044;-0.5420595364869272;-54.20595364869272;0.0040462572343034076;0.0074645992957288205;57;6;OPTIMAL
6;100;10;15.0;0.036;-0.5658951752322641;-56.589517523226405;0.004518573571233975;0.007984824343800753;46;5;OPTIMAL
7;100;10;15.0;0.054;-0.5538412847476638;-55.38412847476638;0.00447725731994475;0.008084007897650023;62;8;OPTIMAL
8;100;10;15.0;0.051;-0.5541454792557501;-55.41454792557501;0.004512865097186958;0.008143827327163258;61;6;OPTIMAL
9;100;10;15.0;0.034;-0.5465625617447407;-54.65625617447407;0.0036420770009232273;0.006663604966459767;53;7;OPTIMAL
