seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
11,700,10,10.0,442.0,-0.1127043467316674,-0.10170366405857666,OPTIMAL,33,0,0
11,700,10,10.0,459.0,-0.10988683999163475,-0.10170366405857666,OPTIMAL,38,0,0
11,700,10,10.0,468.0,-0.10988683999163475,-0.10170366405857666,OPTIMAL,42,0,0
11,700,10,10.0,492.0,-0.10902320162944285,-0.10170366405857666,OPTIMAL,48,0,0
11,700,10,10.0,500.0,-0.10888985239423765,-0.10170366405857666,OPTIMAL,51,0,0
11,700,10,10.0,524.0,-0.10805070720775795,-0.10170366405857666,OPTIMAL,58,0,0
11,700,10,10.0,564.0,-0.1069117559847009,-0.10170366405857666,OPTIMAL,67,0,0
11,700,10,10.0,589.0,-0.10670892951489545,-0.10170366405857666,OPTIMAL,72,0,0
11,700,10,10.0,620.0,-0.1066083551452582,-0.10170366405857666,OPTIMAL,78,0,0
11,700,10,10.0,690.0,-0.10632028596352869,-0.10170366405857666,OPTIMAL,90,0,0
11,700,10,10.0,736.0,-0.10587766894114745,-0.10170366405857666,OPTIMAL,96,0,0
11,700,10,10.0,789.0,-0.105783910505452,-0.10170366405857666,OPTIMAL,104,0,0
11,700,10,10.0,907.0,-0.10550742777191313,-0.10170366405857666,OPTIMAL,112,0,0
11,700,10,10.0,1017.0,-0.10525609018418744,-0.10170366405857666,OPTIMAL,123,0,0
11,700,10,10.0,1136.0,-0.10501765084878861,-0.10170366405857666,OPTIMAL,131,0,0
11,700,10,10.0,1241.0,-0.1049153497736875,-0.10170366405857666,OPTIMAL,139,0,0
11,700,10,10.0,1388.0,-0.10469497887428107,-0.10170366405857666,OPTIMAL,149,0,0
11,700,10,10.0,1489.0,-0.10469497887428107,-0.10170366405857666,OPTIMAL,159,0,0
11,700,10,10.0,1652.0,-0.10447629227175619,-0.10170366405857666,OPTIMAL,170,0,0
11,700,10,10.0,1844.0,-0.10430322972091564,-0.10170366405857666,OPTIMAL,179,0,0
11,700,10,10.0,2048.0,-0.10420985865941809,-0.10170366405857666,OPTIMAL,190,0,0
11,700,10,10.0,2384.0,-0.10413329854333808,-0.10170366405857666,OPTIMAL,200,0,0
11,700,10,10.0,2687.0,-0.10405552292052118,-0.10170366405857666,OPTIMAL,211,0,0
11,700,10,10.0,3656.0,-0.10394715143767973,-0.10170366405857666,OPTIMAL,223,0,0
11,700,10,10.0,4229.0,-0.10383260104470755,-0.10170366405857666,OPTIMAL,235,0,0
11,700,10,10.0,4862.0,-0.10378567765743263,-0.10170366405857666,OPTIMAL,247,0,0
11,700,10,10.0,5409.0,-0.10370653651161509,-0.10170366405857666,OPTIMAL,259,0,0
11,700,10,10.0,6340.0,-0.10361849353131233,-0.10170366405857666,OPTIMAL,276,0,0
11,700,10,10.0,7011.0,-0.10356544316545914,-0.10170366405857666,OPTIMAL,293,0,0
11,700,10,10.0,8072.0,-0.1035146095092932,-0.10170366405857666,OPTIMAL,303,0,0
11,700,10,10.0,9001.0,-0.10345133252727949,-0.10170366405857666,OPTIMAL,323,0,0
11,700,10,10.0,10256.0,-0.10337284002825513,-0.10170366405857666,OPTIMAL,334,0,0
11,700,10,10.0,11898.0,-0.10325620399351329,-0.10170366405857666,OPTIMAL,351,0,0
11,700,10,10.0,13245.0,-0.1031707824221995,-0.10170366405857666,OPTIMAL,364,0,0
11,700,10,10.0,13965.0,-0.10305043025947137,-0.10170366405857666,OPTIMAL,380,0,0
11,700,10,10.0,16327.0,-0.10300566461970316,-0.10170366405857666,OPTIMAL,396,0,0
11,700,10,10.0,17721.0,-0.10295814277264374,-0.10170366405857666,OPTIMAL,410,0,0
11,700,10,10.0,21199.0,-0.1029087942711191,-0.10170366405857666,OPTIMAL,430,0,0
11,700,10,10.0,22620.0,-0.10288717005045711,-0.10170366405857666,OPTIMAL,445,0,0
11,700,10,10.0,24818.0,-0.1027894347653994,-0.10170366405857666,OPTIMAL,461,0,0
11,700,10,10.0,27479.0,-0.10264379100070883,-0.10170366405857666,OPTIMAL,479,0,0
