seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
10,300,10,20.0,59.0,-0.24583428021531112,-0.2350515389282992,OPTIMAL,29,0,0
10,300,10,20.0,63.0,-0.2445482572195492,-0.2350515389282992,OPTIMAL,34,0,0
10,300,10,20.0,69.0,-0.24230932888512488,-0.2350515389282992,OPTIMAL,42,0,0
10,300,10,20.0,73.0,-0.24157375216432822,-0.23566426789231698,OPTIMAL,47,0,0
10,300,10,20.0,77.0,-0.24053185391816403,-0.23566426789231698,OPTIMAL,54,0,0
10,300,10,20.0,83.0,-0.24004548438493906,-0.2356880866980102,OPTIMAL,60,0,0
10,300,10,20.0,97.0,-0.23956172712629897,-0.2356880866980102,OPTIMAL,70,0,0
10,300,10,20.0,101.0,-0.2391736660743512,-0.23609988851585167,OPTIMAL,75,0,0
10,300,10,20.0,111.0,-0.23866883061821903,-0.23630673201341945,OPTIMAL,80,0,0
