seed,numberOfExperiments,numberOfParameters,N,time,time_per_nodes,solution,solution_scaled,dual_gap,number_nodes,termination
1,100,10,15.0,20.944922084,0.008993096644053242,-32.51316312405811,-0.5553901405399857,0.0001471144693567794,2329,optimal
1,100,10,15.0,18.908788042,0.008118844157148992,-32.51316312405811,-0.5553901405399857,0.0001471144693567794,2329,optimal
1,100,10,15.0,18.917843458,0.008122732270502362,-32.51316312405811,-0.5553901405399857,0.0001471144693567794,2329,optimal
1,100,10,15.0,19.530231459,0.008385672588664662,-32.51316312405811,-0.5553901405399857,0.0001471144693567794,2329,optimal
1,100,10,15.0,18.47526725,0.00793270384285101,-32.51316312405811,-0.5553901405399857,0.0001471144693567794,2329,optimal
1,100,10,15.0,19.277810125,0.00827729073636754,-32.51316312405811,-0.5553901405399857,0.0001471144693567794,2329,optimal
1,100,10,15.0,19.483322542,0.008365531361957921,-32.51316312405811,-0.5553901405399857,0.0001471144693567794,2329,optimal
1,100,10,15.0,19.572650625,0.008403886056247317,-32.51316312405811,-0.5553901405399857,0.0001471144693567794,2329,optimal
1,100,10,15.0,18.933097791,0.008129282005581795,-32.51316312405811,-0.5553901405399857,0.0001471144693567794,2329,optimal
1,100,10,15.0,20.576955875,0.008835103424216402,-32.51316312405811,-0.5553901405399857,0.0001471144693567794,2329,optimal
1,100,10,15.0,19.261445209,0.008270264151567197,-32.51316312405811,-0.5553901405399857,0.0001471144693567794,2329,optimal
1,100,10,15.0,18.87264075,0.008103323636753972,-32.51316312405811,-0.5553901405399857,0.0001471144693567794,2329,optimal
1,100,10,15.0,19.970820417,0.008574847753112923,-32.51316312405811,-0.5553901405399857,0.0001471144693567794,2329,optimal
1,100,10,15.0,18.844281083,0.008091146879776728,-32.51316312405811,-0.5553901405399857,0.0001471144693567794,2329,optimal
1,100,10,15.0,18.622143542,0.007995767944182053,-32.51316312405811,-0.5553901405399857,0.0001471144693567794,2329,optimal
1,100,10,15.0,18.489749959,0.007938922266638043,-32.51316312405811,-0.5553901405399857,0.0001471144693567794,2329,optimal
1,100,10,15.0,18.781935333,0.008064377558179476,-32.51316312405811,-0.5553901405399857,0.0001471144693567794,2329,optimal
