seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
1,300,10,10.0,61.0,-0.22385698845926394,-0.1666978601862586,OPTIMAL,30,0,0
1,300,10,10.0,74.0,-0.22385698845926394,-0.1666978601862586,OPTIMAL,37,0,0
1,300,10,10.0,82.0,-0.2233230082687276,-0.21168498762765045,OPTIMAL,41,0,0
1,300,10,10.0,88.0,-0.22218780691939238,-0.21168498762765045,OPTIMAL,47,0,0
1,300,10,10.0,98.0,-0.219605457949605,-0.21168498762765045,OPTIMAL,56,0,0
1,300,10,10.0,105.0,-0.219605457949605,-0.21168498762765045,OPTIMAL,63,0,0
1,300,10,10.0,114.0,-0.21866919187994394,-0.21168498762765045,OPTIMAL,69,0,0
1,300,10,10.0,119.0,-0.2183239386366611,-0.21168498762765045,OPTIMAL,73,0,0
1,300,10,10.0,125.0,-0.21733872164309115,-0.21168498762765045,OPTIMAL,79,0,0
1,300,10,10.0,137.0,-0.2168660089867947,-0.21168498762765045,OPTIMAL,86,0,0
1,300,10,10.0,149.0,-0.21654874703015878,-0.21168498762765045,OPTIMAL,93,0,0
1,300,10,10.0,163.0,-0.2164480076749747,-0.21168498762765045,OPTIMAL,102,0,0
1,300,10,10.0,181.0,-0.2157805899872822,-0.21168498762765045,OPTIMAL,108,0,0
1,300,10,10.0,203.0,-0.2152910304992475,-0.21168498762765045,OPTIMAL,117,0,0
1,300,10,10.0,218.0,-0.21521047787312245,-0.21168498762765045,OPTIMAL,123,0,0
1,300,10,10.0,238.0,-0.21484249022440693,-0.21168498762765045,OPTIMAL,133,0,0
1,300,10,10.0,261.0,-0.21443616705796545,-0.21168498762765045,OPTIMAL,141,0,0
1,300,10,10.0,301.0,-0.2141037538576332,-0.21168498762765045,OPTIMAL,149,0,0
1,300,10,10.0,336.0,-0.21378704723362713,-0.21168498762765045,OPTIMAL,164,0,0
