seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
10,200,10,20.0,65.0,-0.34115000192976996,-0.3293455673591143,OPTIMAL,33,0,0
10,200,10,20.0,72.0,-0.3385954414207437,-0.3293455673591143,OPTIMAL,42,0,0
10,200,10,20.0,80.0,-0.3385954414207437,-0.33035435755387454,OPTIMAL,53,0,0
10,200,10,20.0,86.0,-0.3382574986706874,-0.3311216510975277,OPTIMAL,59,0,0
10,200,10,20.0,90.0,-0.33739128913414823,-0.3311216510975277,OPTIMAL,64,0,0
10,200,10,20.0,96.0,-0.3364699206432526,-0.33190511509909426,OPTIMAL,72,0,0
10,200,10,20.0,131.0,-0.3356341639934755,-0.33190511509909426,OPTIMAL,91,0,0
10,200,10,20.0,144.0,-0.33508110517857786,-0.33190511509909426,OPTIMAL,99,0,0
