seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
11,200,10,20.0,86.0,-0.33790961951961473,-0.3260350398425394,OPTIMAL,39,0,0
11,200,10,20.0,88.0,-0.3357379622213458,-0.3260350398425394,OPTIMAL,42,0,0
11,200,10,20.0,93.0,-0.3344749501261508,-0.326061867688595,OPTIMAL,50,0,0
11,200,10,20.0,95.0,-0.3334530471380541,-0.326061867688595,OPTIMAL,53,0,0
11,200,10,20.0,123.0,-0.33177075461331335,-0.326061867688595,OPTIMAL,70,0,0
11,200,10,20.0,136.0,-0.3314057539460504,-0.32700063164975895,OPTIMAL,80,0,0
11,200,10,20.0,147.0,-0.3306132837829249,-0.32735843085516997,OPTIMAL,87,0,0
