seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
4,700,10,10.0,432.0,-0.11277571962819097,-0.09245629643160608,OPTIMAL,32,0,0
4,700,10,10.0,456.0,-0.11196304509656606,-0.10102477937760976,OPTIMAL,37,0,0
4,700,10,10.0,485.0,-0.11131382073599908,-0.10102477937760976,OPTIMAL,42,0,0
4,700,10,10.0,499.0,-0.1096059422080992,-0.10318414835693818,OPTIMAL,47,0,0
4,700,10,10.0,547.0,-0.10859086988582592,-0.10318414835693818,OPTIMAL,56,0,0
4,700,10,10.0,559.0,-0.1085706035862011,-0.10318414835693818,OPTIMAL,60,0,0
4,700,10,10.0,577.0,-0.10752026670069012,-0.10318414835693818,OPTIMAL,65,0,0
4,700,10,10.0,608.0,-0.1074645150074297,-0.10318414835693818,OPTIMAL,71,0,0
4,700,10,10.0,638.0,-0.10674965325160417,-0.10318414835693818,OPTIMAL,77,0,0
4,700,10,10.0,685.0,-0.10646595831161364,-0.10318414835693818,OPTIMAL,86,0,0
4,700,10,10.0,727.0,-0.1063869365398655,-0.10318414835693818,OPTIMAL,93,0,0
4,700,10,10.0,781.0,-0.10591903108548986,-0.10318414835693818,OPTIMAL,101,0,0
4,700,10,10.0,812.0,-0.10591903108548986,-0.10318414835693818,OPTIMAL,106,0,0
4,700,10,10.0,881.0,-0.10563585935908565,-0.10318414835693818,OPTIMAL,114,0,0
4,700,10,10.0,1005.0,-0.10538196675325923,-0.10318414835693818,OPTIMAL,126,0,0
4,700,10,10.0,1165.0,-0.10524724234292065,-0.10318414835693818,OPTIMAL,138,0,0
4,700,10,10.0,1271.0,-0.10524454501747302,-0.10318414835693818,OPTIMAL,149,0,0
4,700,10,10.0,1410.0,-0.10509826227971714,-0.10318414835693818,OPTIMAL,159,0,0
4,700,10,10.0,1557.0,-0.10498952871726494,-0.10318414835693818,OPTIMAL,166,0,0
4,700,10,10.0,1723.0,-0.1049653750887866,-0.10318414835693818,OPTIMAL,177,0,0
4,700,10,10.0,1981.0,-0.10486746533232653,-0.10318414835693818,OPTIMAL,189,0,0
4,700,10,10.0,2205.0,-0.10477107373558586,-0.10318414835693818,OPTIMAL,202,0,0
4,700,10,10.0,2473.0,-0.10471774782774537,-0.10318414835693818,OPTIMAL,213,0,0
4,700,10,10.0,2767.0,-0.1046469739390386,-0.10318414835693818,OPTIMAL,224,0,0
4,700,10,10.0,3041.0,-0.10457723424134745,-0.10318414835693818,OPTIMAL,233,0,0
4,700,10,10.0,3722.0,-0.10449683965804012,-0.10318414835693818,OPTIMAL,245,0,0
4,700,10,10.0,4323.0,-0.10437897254319643,-0.10318414835693818,OPTIMAL,258,0,0
4,700,10,10.0,4817.0,-0.10430647177882363,-0.10318414835693818,OPTIMAL,270,0,0
4,700,10,10.0,5462.0,-0.10420779105121428,-0.10318414835693818,OPTIMAL,285,0,0
