seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination
1;400;10;10.0;2.065;-0.16545696257425355;-66.18278502970142;0.0016422266387248752;0.00992540061883391;266;30;OPTIMAL
1;400;10;10.0;1.505;-0.16545696257425355;-66.18278502970142;0.0016422266387248752;0.00992540061883391;266;30;OPTIMAL
1;400;10;10.0;1.54;-0.16545696257425355;-66.18278502970142;0.0016422266387248752;0.00992540061883391;266;30;OPTIMAL
1;400;10;15.0;0.322;-0.18038108908417164;-72.15243563366866;0.0016470057428335794;0.009130700735846169;83;12;OPTIMAL
1;400;10;20.0;0.163;-0.187608899844257;-75.0435599377028;0.0017364123673440923;0.009255490378044805;76;10;OPTIMAL
1;400;10;25.0;0.206;-0.19357829807548702;-77.4313192301948;0.0018457311703954926;0.009534804204527817;91;11;OPTIMAL
1;400;10;30.0;0.128;-0.19801062371464018;-79.20424948585607;0.001939880751836487;0.009796851883220745;69;10;OPTIMAL
1;400;10;35.0;0.131;-0.20248746812803387;-80.99498725121354;0.0015091611902581514;0.007453109094652224;63;10;OPTIMAL
1;400;10;40.0;0.181;-0.2055318121822622;-82.21272487290489;0.002039256022760283;0.009921851031760983;88;12;OPTIMAL
1;400;10;10.0;1.559;-0.16545696257425355;-66.18278502970142;0.0016422266387248752;0.00992540061883391;266;30;OPTIMAL
2;400;10;10.0;595.987;-0.1219717700036102;-48.78870800144408;0.0012150864048929289;0.009962029778341036;6402;381;OPTIMAL
3;400;10;10.0;29.165;-0.16110520154433894;-64.44208061773557;0.0015825386938467245;0.009823014270654585;692;54;OPTIMAL
4;400;10;10.0;580.343;-0.12772695342694662;-51.09078137077865;0.0011876249360327495;0.00929815441587285;6217;368;OPTIMAL
5;400;10;10.0;38.662;-0.1580630326329606;-63.225213053184234;0.0014663600748209549;0.009277058970682924;834;60;OPTIMAL
6;400;10;10.0;579.685;-0.12888000261345411;-51.552001045381644;0.00047043964749599043;0.003650214447209206;6388;378;OPTIMAL
7;400;10;10.0;0.435;-0.1665255454533685;-66.6102181813474;0.0014536016652265116;0.00872900107469432;130;16;OPTIMAL
8;400;10;10.0;0.431;-0.16683661644689138;-66.73464657875655;0.001593016842025674;0.00954836459736508;136;17;OPTIMAL
9;400;10;10.0;23.653;-0.15931378797907583;-63.725515191630336;0.0015412529252119556;0.009674322259002357;707;55;OPTIMAL
10;400;10;10.0;503.964;-0.12307389309551345;-49.22955723820538;0.0011790584009168104;0.009580085355728395;6105;380;OPTIMAL
11;400;10;10.0;11.956;-0.16060760046494837;-64.24304018597935;0.0016049476834625875;0.009992974671288098;506;43;OPTIMAL
2;400;10;10.0;659.222;-0.1219717700036102;-48.78870800144408;0.0012150864048929289;0.009962029778341036;6402;381;OPTIMAL
3;400;10;10.0;33.855;-0.16110520154433894;-64.44208061773557;0.0015825386938467245;0.009823014270654585;692;54;OPTIMAL
4;400;10;10.0;621.476;-0.12772695342694662;-51.09078137077865;0.0011876249360327495;0.00929815441587285;6217;368;OPTIMAL
5;400;10;10.0;42.084;-0.1580630326329606;-63.225213053184234;0.0014663600748209549;0.009277058970682924;834;60;OPTIMAL
6;400;10;10.0;654.164;-0.12888000261345411;-51.552001045381644;0.00047043964749599043;0.003650214447209206;6388;378;OPTIMAL
7;400;10;10.0;0.465;-0.1665255454533685;-66.6102181813474;0.0014536016652265116;0.00872900107469432;130;16;OPTIMAL
8;400;10;10.0;0.599;-0.16683661644689138;-66.73464657875655;0.001593016842025674;0.00954836459736508;136;17;OPTIMAL
9;400;10;10.0;26.171;-0.15931378797907583;-63.725515191630336;0.0015412529252119556;0.009674322259002357;707;55;OPTIMAL
10;400;10;10.0;547.293;-0.12307389309551345;-49.22955723820538;0.0011790584009168104;0.009580085355728395;6105;380;OPTIMAL
11;400;10;10.0;12.472;-0.16060760046494837;-64.24304018597935;0.0016049476834625875;0.009992974671288098;506;43;OPTIMAL
2;400;10;15.0;0.268;-0.17520013070511795;-70.08005228204718;0.0016194746411010985;0.009243569822598257;122;15;OPTIMAL
3;400;10;15.0;0.275;-0.17690391635829514;-70.76156654331805;0.00168511164321819;0.009525575679202165;131;18;OPTIMAL
4;400;10;15.0;0.256;-0.1784471723749985;-71.3788689499994;0.0014943823301453163;0.008374368224815246;120;16;OPTIMAL
5;400;10;15.0;0.227;-0.17412418857149314;-69.64967542859726;0.0017053514052660923;0.009793879984491051;107;13;OPTIMAL
6;400;10;15.0;0.179;-0.17976281178723216;-71.90512471489286;0.0016042107241981407;0.008924041119788945;88;12;OPTIMAL
7;400;10;15.0;0.136;-0.1787542909161276;-71.50171636645103;0.0015850745290471313;0.008867336951317471;83;12;OPTIMAL
8;400;10;15.0;0.172;-0.17910449031833228;-71.64179612733291;0.0014622136095999994;0.008164025407744533;86;12;OPTIMAL
9;400;10;15.0;0.205;-0.17594419010152346;-70.37767604060939;0.0015792677036148561;0.008975958243938523;102;14;OPTIMAL
10;400;10;15.0;0.132;-0.1800707743646039;-72.02830974584155;0.0017197643483951863;0.009550491213599382;70;10;OPTIMAL
11;400;10;15.0;0.224;-0.1765091966507552;-70.60367866030208;0.0016721333575982766;0.009473349770588979;97;13;OPTIMAL
2;400;10;20.0;0.399;-0.1825895215002867;-73.03580860011468;0.0017571769510931201;0.009623646179993745;178;20;OPTIMAL
3;400;10;20.0;0.23;-0.18493307364933784;-73.97322945973514;0.0017915134311285719;0.0096873609234742;101;12;OPTIMAL
4;400;10;20.0;0.179;-0.18651997244879037;-74.60798897951615;0.0014918343758905106;0.007998255394875196;97;12;OPTIMAL
5;400;10;20.0;0.159;-0.18280973659717328;-73.12389463886932;0.0017793077136579183;0.009733112397501431;77;10;OPTIMAL
6;400;10;20.0;0.194;-0.18691508083825883;-74.76603233530354;0.0016121264457093776;0.00862491372274226;104;12;OPTIMAL
7;400;10;20.0;0.373;-0.18546172300105015;-74.18468920042007;0.00175723945930642;0.009474944106372127;149;16;OPTIMAL
8;400;10;20.0;0.246;-0.18646773434271172;-74.58709373708469;0.0017455854801706194;0.009361327236176865;125;13;OPTIMAL
9;400;10;20.0;0.244;-0.18364078764237463;-73.45631505694985;0.001762699058600048;0.009598625018058405;136;16;OPTIMAL
10;400;10;20.0;0.251;-0.1874451880431799;-74.97807521727195;0.0013899509794503828;0.007415239590627387;132;15;OPTIMAL
11;400;10;20.0;0.256;-0.18383627785916154;-73.53451114366462;0.0015562889551359593;0.00846562481170471;107;13;OPTIMAL
