seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
9,200,10,20.0,72.0,-0.3371114331564907,-0.27954712396136183,OPTIMAL,25,0,0
9,200,10,20.0,79.0,-0.3365124251000888,-0.326281241604801,OPTIMAL,29,0,0
9,200,10,20.0,86.0,-0.3360889829767594,-0.32696162407751983,OPTIMAL,34,0,0
9,200,10,20.0,92.0,-0.33307425456412454,-0.32696162407751983,OPTIMAL,41,0,0
9,200,10,20.0,99.0,-0.33298857572875407,-0.32696162407751983,OPTIMAL,47,0,0
9,200,10,20.0,115.0,-0.33194918151728003,-0.32696162407751983,OPTIMAL,56,0,0
9,200,10,20.0,122.0,-0.3315573899170501,-0.32696162407751983,OPTIMAL,61,0,0
9,200,10,20.0,132.0,-0.3311832856067705,-0.32706692224888767,OPTIMAL,68,0,0
9,200,10,20.0,146.0,-0.3305459364632639,-0.32706692224888767,OPTIMAL,74,0,0
9,200,10,20.0,201.0,-0.32994103215174786,-0.32706692224888767,OPTIMAL,96,0,0
