seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
1,400,10,10.0,92.0,-0.17998552130005235,-0.16545696257425355,OPTIMAL,30,0,0
1,400,10,10.0,106.0,-0.17686733025676413,-0.16545696257425355,OPTIMAL,37,0,0
1,400,10,10.0,109.0,-0.17636397599474568,-0.16545696257425355,OPTIMAL,40,0,0
1,400,10,10.0,113.0,-0.17573871473762942,-0.16545696257425355,OPTIMAL,43,0,0
1,400,10,10.0,121.0,-0.174102363095904,-0.16545696257425355,OPTIMAL,49,0,0
1,400,10,10.0,128.0,-0.17321207818749731,-0.16545696257425355,OPTIMAL,54,0,0
1,400,10,10.0,139.0,-0.17239286845315271,-0.16545696257425355,OPTIMAL,59,0,0
1,400,10,10.0,147.0,-0.1722033547988556,-0.16545696257425355,OPTIMAL,64,0,0
1,400,10,10.0,165.0,-0.17093030325173536,-0.16545696257425355,OPTIMAL,73,0,0
1,400,10,10.0,182.0,-0.17065164517720766,-0.16545696257425355,OPTIMAL,79,0,0
1,400,10,10.0,207.0,-0.17024403522357984,-0.16545696257425355,OPTIMAL,86,0,0
1,400,10,10.0,226.0,-0.17015824215993594,-0.16545696257425355,OPTIMAL,93,0,0
1,400,10,10.0,247.0,-0.17001944504105043,-0.16545696257425355,OPTIMAL,101,0,0
1,400,10,10.0,274.0,-0.16957348566168362,-0.16545696257425355,OPTIMAL,109,0,0
1,400,10,10.0,308.0,-0.1693179373982094,-0.16545696257425355,OPTIMAL,119,0,0
1,400,10,10.0,331.0,-0.16902777872337724,-0.16545696257425355,OPTIMAL,126,0,0
1,400,10,10.0,376.0,-0.16880936255597612,-0.16545696257425355,OPTIMAL,137,0,0
1,400,10,10.0,412.0,-0.16864056156703405,-0.16545696257425355,OPTIMAL,147,0,0
1,400,10,10.0,458.0,-0.16845258506323005,-0.16545696257425355,OPTIMAL,156,0,0
1,400,10,10.0,488.0,-0.16835173643600307,-0.16545696257425355,OPTIMAL,165,0,0
1,400,10,10.0,543.0,-0.16813253086956126,-0.16545696257425355,OPTIMAL,178,0,0
1,400,10,10.0,630.0,-0.1679468942724544,-0.16545696257425355,OPTIMAL,189,0,0
1,400,10,10.0,730.0,-0.16779198088059377,-0.16545696257425355,OPTIMAL,199,0,0
1,400,10,10.0,865.0,-0.1676481881950286,-0.16545696257425355,OPTIMAL,210,0,0
1,400,10,10.0,994.0,-0.16757599025283107,-0.16545696257425355,OPTIMAL,219,0,0
1,400,10,10.0,1100.0,-0.16750770421526648,-0.16545696257425355,OPTIMAL,231,0,0
1,400,10,10.0,1246.0,-0.1674459435348065,-0.16545696257425355,OPTIMAL,243,0,0
1,400,10,10.0,1397.0,-0.16734283982062642,-0.16545696257425355,OPTIMAL,255,0,0
1,400,10,10.0,1558.0,-0.16709918921297842,-0.16545696257425355,OPTIMAL,266,0,0
