seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
1,200,20,20.0,229.0,-0.6291949659166077,-0.48083714885031426,OPTIMAL,62,0,0
1,200,20,20.0,256.0,-0.6264823868267336,-0.48083714885031426,OPTIMAL,72,0,0
1,200,20,20.0,279.0,-0.6249105250572248,-0.48083714885031426,OPTIMAL,84,0,0
1,200,20,20.0,307.0,-0.6223193993232468,-0.48083714885031426,OPTIMAL,95,0,0
1,200,20,20.0,342.0,-0.6206447867209933,-0.48083714885031426,OPTIMAL,103,0,0
1,200,20,20.0,364.0,-0.6203131634168785,-0.48083714885031426,OPTIMAL,108,0,0
1,200,20,20.0,402.0,-0.6192619836456288,-0.48083714885031426,OPTIMAL,114,0,0
1,200,20,20.0,460.0,-0.6177387829843888,-0.48083714885031426,OPTIMAL,121,0,0
1,200,20,20.0,511.0,-0.6164420873883482,-0.48083714885031426,OPTIMAL,129,0,0
1,200,20,20.0,564.0,-0.6157309181617524,-0.48083714885031426,OPTIMAL,136,0,0
1,200,20,20.0,630.0,-0.6145153040208615,-0.48083714885031426,OPTIMAL,144,0,0
1,200,20,20.0,707.0,-0.6140617775020821,-0.48083714885031426,OPTIMAL,152,0,0
1,200,20,20.0,802.0,-0.6133901878606697,-0.48083714885031426,OPTIMAL,165,0,0
1,200,20,20.0,876.0,-0.6129969928788582,-0.48083714885031426,OPTIMAL,173,0,0
1,200,20,20.0,966.0,-0.6122235272307953,-0.48083714885031426,OPTIMAL,179,0,0
1,200,20,20.0,1148.0,-0.6114042259747383,-0.48083714885031426,OPTIMAL,189,0,0
1,200,20,20.0,1266.0,-0.6107882008595132,-0.48083714885031426,OPTIMAL,200,0,0
1,200,20,20.0,1389.0,-0.6103229163925173,-0.48083714885031426,OPTIMAL,213,0,0
1,200,20,20.0,1530.0,-0.6097795346347127,-0.48083714885031426,OPTIMAL,225,0,0
1,200,20,20.0,1702.0,-0.6091049391743671,-0.48083714885031426,OPTIMAL,237,0,0
1,200,20,20.0,1877.0,-0.608399038525908,-0.48083714885031426,OPTIMAL,250,0,0
1,200,20,20.0,2142.0,-0.6079269280506422,-0.48083714885031426,OPTIMAL,264,0,0
1,200,20,20.0,2373.0,-0.6073593401935975,-0.48083714885031426,OPTIMAL,274,0,0
1,200,20,20.0,2611.0,-0.6069101798648788,-0.48083714885031426,OPTIMAL,285,0,0
1,200,20,20.0,2852.0,-0.6062283380339507,-0.48083714885031426,OPTIMAL,295,0,0
1,200,20,20.0,3104.0,-0.6056093943228557,-0.48083714885031426,OPTIMAL,306,0,0
1,200,20,20.0,3361.0,-0.605127811872162,-0.48083714885031426,OPTIMAL,322,0,0
1,200,20,20.0,3686.0,-0.60434829259857,-0.48083714885031426,OPTIMAL,334,0,0
1,200,20,20.0,3943.0,-0.6039111432226902,-0.48083714885031426,OPTIMAL,347,0,0
1,200,20,20.0,4303.0,-0.6031891674198889,-0.48083714885031426,OPTIMAL,358,0,0
