seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
2,100,10,20.0,33.0,-0.5715739894657489,-0.5594566604675036,OPTIMAL,40,0,0
2,100,10,20.0,35.0,-0.5714669075006189,-0.5594566604675036,OPTIMAL,46,0,0
2,100,10,20.0,37.0,-0.569991303833056,-0.5602589883335528,OPTIMAL,51,0,0
2,100,10,20.0,40.0,-0.5691985010348045,-0.5602589883335528,OPTIMAL,59,0,0
2,100,10,20.0,45.0,-0.5671133438917794,-0.5602589883335528,OPTIMAL,68,0,0
2,100,10,20.0,69.0,-0.5661613291846204,-0.5602589883335528,OPTIMAL,90,0,0
2,100,10,20.0,104.0,-0.5661613291846204,-0.5602589883335528,OPTIMAL,100,0,0
2,100,10,20.0,161.0,-0.5656416407218425,-0.5602589883335528,OPTIMAL,123,0,0
