seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
3,100,10,20.0,30.0,-0.5820994306055512,-0.568916510030906,OPTIMAL,33,0,0
3,100,10,20.0,32.0,-0.5799996896177094,-0.5690307852587133,OPTIMAL,39,0,0
3,100,10,20.0,34.0,-0.5785895062222279,-0.5690307852587133,OPTIMAL,45,0,0
3,100,10,20.0,36.0,-0.5780230646187315,-0.5690307852587133,OPTIMAL,51,0,0
3,100,10,20.0,39.0,-0.5761494442579694,-0.5690525430442401,OPTIMAL,59,0,0
3,100,10,20.0,42.0,-0.5759868864789895,-0.5690525430442401,OPTIMAL,64,0,0
3,100,10,20.0,46.0,-0.5746631076337417,-0.5690525430442401,OPTIMAL,73,0,0
