seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
8,900,10,10.0,549.0,-0.09145026022828161,-0.08174443785785097,OPTIMAL,31,0,0
8,900,10,10.0,584.0,-0.09049735024645043,-0.08214114575012536,OPTIMAL,35,0,0
8,900,10,10.0,614.0,-0.09049735024645043,-0.08214114575012536,OPTIMAL,40,0,0
8,900,10,10.0,647.0,-0.08965870263233042,-0.08214114575012536,OPTIMAL,48,0,0
8,900,10,10.0,661.0,-0.08909423810801884,-0.08214114575012536,OPTIMAL,51,0,0
8,900,10,10.0,704.0,-0.0887258987398502,-0.08214114575012536,OPTIMAL,60,0,0
8,900,10,10.0,756.0,-0.08738782060408895,-0.08214114575012536,OPTIMAL,69,0,0
8,900,10,10.0,808.0,-0.08710701034195432,-0.08214114575012536,OPTIMAL,77,0,0
8,900,10,10.0,860.0,-0.08710701034195432,-0.08214114575012536,OPTIMAL,84,0,0
8,900,10,10.0,930.0,-0.08656880142017268,-0.08214114575012536,OPTIMAL,90,0,0
8,900,10,10.0,1048.0,-0.08655139287996227,-0.08214114575012536,OPTIMAL,97,0,0
8,900,10,10.0,1111.0,-0.08623701640053903,-0.08214114575012536,OPTIMAL,103,0,0
8,900,10,10.0,1177.0,-0.08617879032235774,-0.08214114575012536,OPTIMAL,109,0,0
8,900,10,10.0,1244.0,-0.08603895081406027,-0.08214114575012536,OPTIMAL,115,0,0
8,900,10,10.0,1336.0,-0.08593214164498009,-0.08214114575012536,OPTIMAL,122,0,0
8,900,10,10.0,1485.0,-0.08557474047375163,-0.08214114575012536,OPTIMAL,130,0,0
8,900,10,10.0,1625.0,-0.08548400417214343,-0.08214114575012536,OPTIMAL,137,0,0
8,900,10,10.0,1807.0,-0.08531488159755168,-0.08214114575012536,OPTIMAL,147,0,0
8,900,10,10.0,1968.0,-0.08527707482426454,-0.08214114575012536,OPTIMAL,159,0,0
8,900,10,10.0,2354.0,-0.08516067632828375,-0.08214114575012536,OPTIMAL,173,0,0
8,900,10,10.0,2705.0,-0.08505917234693378,-0.08214114575012536,OPTIMAL,187,0,0
8,900,10,10.0,2940.0,-0.08496348344114411,-0.08214114575012536,OPTIMAL,199,0,0
8,900,10,10.0,3594.0,-0.08491135443219754,-0.08214114575012536,OPTIMAL,210,0,0
8,900,10,10.0,4267.0,-0.084812748461557,-0.08214114575012536,OPTIMAL,227,0,0
8,900,10,10.0,5470.0,-0.08474246491779862,-0.08214114575012536,OPTIMAL,241,0,0
8,900,10,10.0,6207.0,-0.0847171623319508,-0.08214114575012536,OPTIMAL,255,0,0
8,900,10,10.0,7603.0,-0.08467652282835407,-0.08214114575012536,OPTIMAL,269,0,0
8,900,10,10.0,8767.0,-0.08455932914598625,-0.08214114575012536,OPTIMAL,282,0,0
8,900,10,10.0,9803.0,-0.08452096628225579,-0.08214114575012536,OPTIMAL,299,0,0
8,900,10,10.0,11279.0,-0.08447467674160715,-0.08214114575012536,OPTIMAL,316,0,0
8,900,10,10.0,15339.0,-0.0844267195445818,-0.08214114575012536,OPTIMAL,336,0,0
8,900,10,10.0,17648.0,-0.08438632298634584,-0.08214114575012536,OPTIMAL,354,0,0
8,900,10,10.0,19989.0,-0.08433567359122125,-0.08214114575012536,OPTIMAL,372,0,0
8,900,10,10.0,21987.0,-0.08431075945697672,-0.08214114575012536,OPTIMAL,387,0,0
8,900,10,10.0,23478.0,-0.08426965141348379,-0.08214114575012536,OPTIMAL,404,0,0
8,900,10,10.0,25571.0,-0.08423678284039436,-0.08214114575012536,OPTIMAL,418,0,0
8,900,10,10.0,30574.0,-0.08414768778370656,-0.08214114575012536,OPTIMAL,439,0,0
8,900,10,10.0,33263.0,-0.08411040586051684,-0.08214114575012536,OPTIMAL,458,0,0
8,900,10,10.0,36479.0,-0.08404673253149537,-0.08214114575012536,OPTIMAL,479,0,0
8,900,10,10.0,40706.0,-0.0839639840392743,-0.08214114575012536,OPTIMAL,497,0,0
8,900,10,10.0,43896.0,-0.08386715054303898,-0.08214114575012536,OPTIMAL,512,0,0
8,900,10,10.0,47254.0,-0.08379340449756584,-0.08214114575012536,OPTIMAL,532,0,0
8,900,10,10.0,49837.0,-0.0837214913793113,-0.08214114575012536,OPTIMAL,547,0,0
8,900,10,10.0,53535.0,-0.08363300848693347,-0.08214114575012536,OPTIMAL,565,0,0
8,900,10,10.0,55314.0,-0.08358765026755094,-0.08214114575012536,OPTIMAL,581,0,0
8,900,10,10.0,59562.0,-0.08356128782816238,-0.08214114575012536,OPTIMAL,599,0,0
8,900,10,10.0,62167.0,-0.08352115040007439,-0.08214114575012536,OPTIMAL,614,0,0
8,900,10,10.0,65605.0,-0.08345136328367057,-0.08214114575012536,OPTIMAL,635,0,0
