seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
11,100,10,20.0,40.0,-0.5803495821707685,-0.5700732783748588,OPTIMAL,33,0,0
11,100,10,20.0,50.0,-0.5777189039646553,-0.5700732783748588,OPTIMAL,45,0,0
11,100,10,20.0,61.0,-0.5763058474901169,-0.5700732783748588,OPTIMAL,60,0,0
11,100,10,20.0,69.0,-0.575806978474649,-0.5700732783748588,OPTIMAL,71,0,0
11,100,10,20.0,72.0,-0.5746105208587486,-0.5700732783748588,OPTIMAL,76,0,0
