seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
9,900,10,10.0,357.0,-0.09028986264982038,-0.0827722726896216,OPTIMAL,20,0,0
9,900,10,10.0,397.0,-0.09028986264982038,-0.08490152299122951,OPTIMAL,25,0,0
9,900,10,10.0,420.0,-0.09028986264982038,-0.08490152299122951,OPTIMAL,29,0,0
9,900,10,10.0,454.0,-0.0898618931143407,-0.08490152299122951,OPTIMAL,34,0,0
9,900,10,10.0,482.0,-0.0894123101564545,-0.08490152299122951,OPTIMAL,40,0,0
9,900,10,10.0,523.0,-0.08834445574128094,-0.08490152299122951,OPTIMAL,45,0,0
9,900,10,10.0,564.0,-0.08756080055723414,-0.08490152299122951,OPTIMAL,51,0,0
9,900,10,10.0,629.0,-0.08749547300202479,-0.08490152299122951,OPTIMAL,60,0,0
9,900,10,10.0,658.0,-0.08697587292026324,-0.08490152299122951,OPTIMAL,66,0,0
9,900,10,10.0,723.0,-0.08665457782190994,-0.08490152299122951,OPTIMAL,72,0,0
9,900,10,10.0,826.0,-0.08598999203759367,-0.08490152299122951,OPTIMAL,81,0,0
9,900,10,10.0,880.0,-0.08598999203759367,-0.08490152299122951,OPTIMAL,88,0,0
9,900,10,10.0,946.0,-0.08579484044370925,-0.08490152299122951,OPTIMAL,96,0,0
9,900,10,10.0,1038.0,-0.08573087330631446,-0.08490152299122951,OPTIMAL,106,0,0
