seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
2,400,10,20.0,139.0,-0.1922805991826342,-0.18039435102988896,OPTIMAL,28,0,0
2,400,10,20.0,148.0,-0.1913549312020198,-0.18039435102988896,OPTIMAL,34,0,0
2,400,10,20.0,155.0,-0.18897021205686038,-0.18039435102988896,OPTIMAL,42,0,0
2,400,10,20.0,160.0,-0.1884542350874133,-0.18086897083665365,OPTIMAL,47,0,0
2,400,10,20.0,170.0,-0.18742447414213803,-0.18086897083665365,OPTIMAL,53,0,0
2,400,10,20.0,174.0,-0.18666437668162097,-0.18136694474277357,OPTIMAL,58,0,0
2,400,10,20.0,192.0,-0.18639393222089923,-0.18184200192339073,OPTIMAL,65,0,0
2,400,10,20.0,199.0,-0.18570471537557404,-0.18184200192339073,OPTIMAL,71,0,0
2,400,10,20.0,206.0,-0.1855513303200868,-0.18184200192339073,OPTIMAL,77,0,0
2,400,10,20.0,212.0,-0.1852429619102824,-0.18184200192339073,OPTIMAL,84,0,0
2,400,10,20.0,253.0,-0.1852429619102824,-0.1822858378392263,OPTIMAL,107,0,0
2,400,10,20.0,284.0,-0.18498171531110594,-0.1822858378392263,OPTIMAL,125,0,0
2,400,10,20.0,291.0,-0.1847992513369199,-0.1822858378392263,OPTIMAL,131,0,0
2,400,10,20.0,313.0,-0.1846417582806748,-0.1822858378392263,OPTIMAL,143,0,0
2,400,10,20.0,321.0,-0.18458688782139962,-0.1825895215002867,OPTIMAL,151,0,0
2,400,10,20.0,351.0,-0.18444572112682334,-0.1825895215002867,OPTIMAL,159,0,0
2,400,10,20.0,370.0,-0.18444545305511972,-0.1825895215002867,OPTIMAL,168,0,0
2,400,10,20.0,398.0,-0.18434669845137983,-0.1825895215002867,OPTIMAL,178,0,0
