seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
1,100,10,10.0,29.0,-0.5272711636980655,-0.4822809410015222,OPTIMAL,37,0,0
1,100,10,10.0,32.0,-0.5226299073127132,-0.5021414271842845,OPTIMAL,41,0,0
1,100,10,10.0,35.0,-0.5214011963786079,-0.5021414271842845,OPTIMAL,46,0,0
1,100,10,10.0,38.0,-0.5184286773583124,-0.5021414271842845,OPTIMAL,53,0,0
1,100,10,10.0,41.0,-0.5169607905851341,-0.5021414271842845,OPTIMAL,59,0,0
1,100,10,10.0,46.0,-0.5154661132336062,-0.5021414271842845,OPTIMAL,66,0,0
1,100,10,10.0,50.0,-0.5146901253971888,-0.5021414271842845,OPTIMAL,73,0,0
1,100,10,10.0,54.0,-0.5129353141070733,-0.5021414271842845,OPTIMAL,80,0,0
1,100,10,10.0,60.0,-0.5115986429093019,-0.5021414271842845,OPTIMAL,87,0,0
1,100,10,10.0,68.0,-0.5102463221628272,-0.5021414271842845,OPTIMAL,94,0,0
1,100,10,10.0,73.0,-0.5092395337137351,-0.5021414271842845,OPTIMAL,100,0,0
1,100,10,10.0,78.0,-0.5081548523742423,-0.5021414271842845,OPTIMAL,108,0,0
1,100,10,10.0,87.0,-0.5070178152244791,-0.5021414271842845,OPTIMAL,115,0,0
