seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
1,300,20,20.0,248.0,-0.45657610023563433,-0.35886660405634063,OPTIMAL,64,0,0
1,300,20,20.0,269.0,-0.45484208402896725,-0.35886660405634063,OPTIMAL,69,0,0
1,300,20,20.0,287.0,-0.453356031559086,-0.35886660405634063,OPTIMAL,77,0,0
1,300,20,20.0,313.0,-0.4506662429372683,-0.35886660405634063,OPTIMAL,87,0,0
1,300,20,20.0,345.0,-0.4487538314360731,-0.35886660405634063,OPTIMAL,96,0,0
1,300,20,20.0,385.0,-0.4487538314360731,-0.35886660405634063,OPTIMAL,106,0,0
1,300,20,20.0,428.0,-0.4485241401425414,-0.35886660405634063,OPTIMAL,114,0,0
1,300,20,20.0,469.0,-0.4471640097108745,-0.35886660405634063,OPTIMAL,122,0,0
1,300,20,20.0,527.0,-0.44688997659428475,-0.35886660405634063,OPTIMAL,131,0,0
1,300,20,20.0,572.0,-0.4461085458781308,-0.35886660405634063,OPTIMAL,138,0,0
1,300,20,20.0,626.0,-0.4451853374980439,-0.35886660405634063,OPTIMAL,147,0,0
1,300,20,20.0,695.0,-0.44446542312259896,-0.35886660405634063,OPTIMAL,161,0,0
1,300,20,20.0,786.0,-0.4441216490215774,-0.35886660405634063,OPTIMAL,172,0,0
1,300,20,20.0,888.0,-0.443624320993142,-0.35886660405634063,OPTIMAL,182,0,0
1,300,20,20.0,1080.0,-0.4431842703215515,-0.35886660405634063,OPTIMAL,199,0,0
1,300,20,20.0,1227.0,-0.4425218324888846,-0.35886660405634063,OPTIMAL,208,0,0
1,300,20,20.0,1418.0,-0.4420702468001565,-0.35886660405634063,OPTIMAL,220,0,0
1,300,20,20.0,1682.0,-0.44160272997919664,-0.35886660405634063,OPTIMAL,234,0,0
1,300,20,20.0,1886.0,-0.4412888664341722,-0.35886660405634063,OPTIMAL,249,0,0
1,300,20,20.0,2140.0,-0.44097103008346894,-0.35886660405634063,OPTIMAL,262,0,0
1,300,20,20.0,2494.0,-0.440671248870925,-0.35886660405634063,OPTIMAL,273,0,0
1,300,20,20.0,2751.0,-0.44032612298026436,-0.35886660405634063,OPTIMAL,285,0,0
1,300,20,20.0,2958.0,-0.44001002301615194,-0.35886660405634063,OPTIMAL,293,0,0
1,300,20,20.0,3299.0,-0.4396461373132464,-0.35886660405634063,OPTIMAL,304,0,0
1,300,20,20.0,3721.0,-0.4394206131964855,-0.35886660405634063,OPTIMAL,317,0,0
1,300,20,20.0,4160.0,-0.43874862295747996,-0.35886660405634063,OPTIMAL,329,0,0
1,300,20,20.0,4621.0,-0.4384426595947606,-0.35886660405634063,OPTIMAL,341,0,0
1,300,20,20.0,5240.0,-0.43805876306277,-0.35886660405634063,OPTIMAL,356,0,0
1,300,20,20.0,5812.0,-0.4377291849252321,-0.35886660405634063,OPTIMAL,372,0,0
1,300,20,20.0,6345.0,-0.4375035414367612,-0.35886660405634063,OPTIMAL,387,0,0
1,300,20,20.0,6813.0,-0.43707822164689786,-0.35886660405634063,OPTIMAL,403,0,0
1,300,20,20.0,7400.0,-0.4367952981367603,-0.35886660405634063,OPTIMAL,418,0,0
1,300,20,20.0,8032.0,-0.436380635517688,-0.35886660405634063,OPTIMAL,435,0,0
