seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination
1;300;20;20.0;232.412;-0.35886660405634063;-107.6599812169022;0.0033947061534049805;0.009459520933499917;3847;277;OPTIMAL
1;300;10;10.0;0.324;-0.21168498762765045;-63.505496288295134;0.002102059605976675;0.009930130754827805;164;20;OPTIMAL
1;300;10;10.0;0.326;-0.21168498762765045;-63.505496288295134;0.002102059605976675;0.009930130754827805;164;20;OPTIMAL
1;300;10;10.0;0.333;-0.21168498762765045;-63.505496288295134;0.002102059605976675;0.009930130754827805;164;20;OPTIMAL
1;300;10;15.0;0.129;-0.22903009673425767;-68.7090290202773;0.002266076966730951;0.009894232238657557;76;10;OPTIMAL
1;300;10;20.0;0.17;-0.23917675821769535;-71.7530274653086;0.00235071167074144;0.009828344895459511;90;9;OPTIMAL
1;300;10;25.0;0.129;-0.24694473273843612;-74.08341982153084;0.001967368391842028;0.007966836830352098;79;10;OPTIMAL
1;300;10;30.0;0.142;-0.25316740885395017;-75.95022265618505;0.0025207677473174095;0.009956920437462848;93;11;OPTIMAL
1;300;10;35.0;0.106;-0.2579911823351444;-77.39735470054332;0.0022496514919775334;0.008719877445482286;71;10;OPTIMAL
1;300;10;40.0;0.092;-0.2629284967250011;-78.87854901750033;0.0023749663922069675;0.009032746247703088;57;8;OPTIMAL
1;300;10;10.0;0.336;-0.21168498762765045;-63.505496288295134;0.002102059605976675;0.009930130754827805;164;20;OPTIMAL
2;300;10;10.0;186.654;-0.15825354267738903;-47.476062803216706;0.0008802562374361778;0.005562316157627143;4370;277;OPTIMAL
3;300;10;10.0;0.769;-0.20712220488942917;-62.136661466828755;0.00202443075865838;0.009774088489155997;236;25;OPTIMAL
4;300;10;10.0;29.021;-0.19835764171233525;-59.50729251370058;0.0018744907370959463;0.009450055570908602;1191;83;OPTIMAL
5;300;10;10.0;37.481;-0.19586508159085472;-58.75952447725642;0.0019085332984286607;0.009744122244389749;1216;81;OPTIMAL
6;300;10;10.0;139.18;-0.1587179527684059;-47.61538583052177;0.0014103763841913919;0.008886054536309133;4325;281;OPTIMAL
7;300;10;10.0;183.261;-0.17209910123350522;-51.62973037005157;0.0016764602223190983;0.009741249142518565;4061;257;OPTIMAL
8;300;10;10.0;0.225;-0.21225994751005198;-63.677984253015595;0.001787374073390885;0.008420684610346662;132;16;OPTIMAL
9;300;10;10.0;0.472;-0.207982553386944;-62.394766016083196;0.0018209273563427608;0.008755192811557571;176;21;OPTIMAL
10;300;10;10.0;9.856;-0.20246169182526177;-60.738507547578536;0.0019306674513609734;0.009535964230839633;679;55;OPTIMAL
11;300;10;10.0;0.422;-0.20795197161060466;-62.3855914831814;0.001922233997589895;0.009243644014057856;166;18;OPTIMAL
