seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination
2;900;10;10.0;20.656;-0.08300982572943753;-74.70884315649378;0.0007786964543045061;0.009380774474127817;371;36;OPTIMAL
3;900;10;10.0;36.653;-0.08293761197665579;-74.64385077899021;0.0007684557173213424;0.009265467126514776;448;39;OPTIMAL
4;900;10;10.0;214.092;-0.08180144128825137;-73.62129715942623;0.0007994582197564798;0.009773155670196008;1016;72;OPTIMAL
5;900;10;10.0;281.741;-0.08172096367323672;-73.54886730591305;0.0008111184759186096;0.009925463913542267;898;63;OPTIMAL
6;900;10;10.0;2.239;-0.084240367548121;-75.81633079330891;0.0007872586300028267;0.009345384557505847;170;21;OPTIMAL
7;900;10;10.0;57.849;-0.08235665114216253;-74.12098602794629;0.0008186162298275956;0.00993989214562058;563;47;OPTIMAL
8;900;10;10.0;164.07;-0.08214114575012536;-73.92703117511283;0.0007906829178936925;0.009625905636852962;870;60;OPTIMAL
9;900;10;10.0;1.039;-0.08490152299122951;-76.41137069210656;0.0008293503150849507;0.009768379716470153;106;15;OPTIMAL
10;900;10;10.0;67.51;-0.08261428094426251;-74.35285284983627;0.0007799491494142607;0.009440851393967468;558;48;OPTIMAL
11;900;10;10.0;611.529;-0.08098198638075423;-72.8837877426788;0.0007996677426005683;0.009874637290826115;1658;100;OPTIMAL
