seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
2,1000,10,10.0,747.0,-0.0835275576752893,-0.06530180914446272,OPTIMAL,29,0,0
2,1000,10,10.0,777.0,-0.0835275576752893,-0.0693948405413365,OPTIMAL,34,0,0
2,1000,10,10.0,834.0,-0.0825351761260271,-0.0693948405413365,OPTIMAL,40,0,0
2,1000,10,10.0,885.0,-0.08139340364507164,-0.06998178601615478,OPTIMAL,45,0,0
2,1000,10,10.0,917.0,-0.08117336018346218,-0.0741304795752051,OPTIMAL,50,0,0
2,1000,10,10.0,974.0,-0.08054558892122704,-0.0741304795752051,OPTIMAL,58,0,0
2,1000,10,10.0,1020.0,-0.07983269808849576,-0.0741304795752051,OPTIMAL,64,0,0
2,1000,10,10.0,1069.0,-0.07907667179549395,-0.0741304795752051,OPTIMAL,70,0,0
2,1000,10,10.0,1120.0,-0.07906631253951515,-0.0741304795752051,OPTIMAL,76,0,0
2,1000,10,10.0,1217.0,-0.07843641045550276,-0.0741304795752051,OPTIMAL,85,0,0
2,1000,10,10.0,1262.0,-0.07843641045550276,-0.0741304795752051,OPTIMAL,91,0,0
2,1000,10,10.0,1349.0,-0.07828085047212273,-0.0741304795752051,OPTIMAL,97,0,0
2,1000,10,10.0,1424.0,-0.07817191781842407,-0.0741304795752051,OPTIMAL,105,0,0
2,1000,10,10.0,1490.0,-0.0779206819749507,-0.0741304795752051,OPTIMAL,112,0,0
2,1000,10,10.0,1561.0,-0.0778482575815953,-0.0741304795752051,OPTIMAL,118,0,0
2,1000,10,10.0,1731.0,-0.07759515987155172,-0.0741304795752051,OPTIMAL,127,0,0
2,1000,10,10.0,2090.0,-0.0775940896832781,-0.0741304795752051,OPTIMAL,137,0,0
2,1000,10,10.0,2391.0,-0.07743017700740283,-0.0741304795752051,OPTIMAL,148,0,0
2,1000,10,10.0,2684.0,-0.077407727186989,-0.0741304795752051,OPTIMAL,161,0,0
2,1000,10,10.0,3057.0,-0.0773021719378689,-0.0741304795752051,OPTIMAL,170,0,0
2,1000,10,10.0,3581.0,-0.07720572982761688,-0.0741304795752051,OPTIMAL,182,0,0
2,1000,10,10.0,4332.0,-0.07718150416916167,-0.0741304795752051,OPTIMAL,195,0,0
2,1000,10,10.0,4999.0,-0.07709190385761712,-0.0741304795752051,OPTIMAL,209,0,0
2,1000,10,10.0,6063.0,-0.07702153518706864,-0.0741304795752051,OPTIMAL,219,0,0
2,1000,10,10.0,7207.0,-0.07698262947294351,-0.0741304795752051,OPTIMAL,234,0,0
2,1000,10,10.0,9059.0,-0.07694171742551784,-0.0741304795752051,OPTIMAL,248,0,0
2,1000,10,10.0,11361.0,-0.07690321170034385,-0.0741304795752051,OPTIMAL,263,0,0
2,1000,10,10.0,13064.0,-0.0768442558013275,-0.0741304795752051,OPTIMAL,278,0,0
2,1000,10,10.0,14434.0,-0.07681103245956866,-0.0741304795752051,OPTIMAL,292,0,0
2,1000,10,10.0,16457.0,-0.07672727783570378,-0.0741304795752051,OPTIMAL,306,0,0
2,1000,10,10.0,20779.0,-0.0766764348235125,-0.0741304795752051,OPTIMAL,328,0,0
2,1000,10,10.0,24121.0,-0.07664224582240672,-0.0741304795752051,OPTIMAL,346,0,0
2,1000,10,10.0,26613.0,-0.07662077470991538,-0.0741304795752051,OPTIMAL,359,0,0
2,1000,10,10.0,30399.0,-0.07658121361696697,-0.0741304795752051,OPTIMAL,375,0,0
2,1000,10,10.0,32975.0,-0.07655576853109586,-0.0741304795752051,OPTIMAL,397,0,0
2,1000,10,10.0,36375.0,-0.07653494875463102,-0.0741304795752051,OPTIMAL,415,0,0
2,1000,10,10.0,41979.0,-0.07651662744413107,-0.0741304795752051,OPTIMAL,431,0,0
2,1000,10,10.0,46748.0,-0.07649738935198729,-0.0741304795752051,OPTIMAL,445,0,0
2,1000,10,10.0,50548.0,-0.0764869440023945,-0.0741304795752051,OPTIMAL,461,0,0
2,1000,10,10.0,53303.0,-0.0764689089478589,-0.0741304795752051,OPTIMAL,475,0,0
2,1000,10,10.0,56818.0,-0.07644799748704068,-0.0741304795752051,OPTIMAL,491,0,0
2,1000,10,10.0,66074.0,-0.07642090914201907,-0.0741304795752051,OPTIMAL,507,0,0
2,1000,10,10.0,68574.0,-0.07637008401480541,-0.0741304795752051,OPTIMAL,523,0,0
2,1000,10,10.0,78772.0,-0.07633148014365979,-0.0741304795752051,OPTIMAL,540,0,0
2,1000,10,10.0,85808.0,-0.07629156300156836,-0.0741304795752051,OPTIMAL,561,0,0
2,1000,10,10.0,93753.0,-0.07624825570464548,-0.0741304795752051,OPTIMAL,580,0,0
2,1000,10,10.0,97833.0,-0.07620124835217508,-0.0741304795752051,OPTIMAL,603,0,0
2,1000,10,10.0,117853.0,-0.0761623264902507,-0.0741304795752051,OPTIMAL,629,0,0
2,1000,10,10.0,127654.0,-0.07614091546456792,-0.0741304795752051,OPTIMAL,647,0,0
2,1000,10,10.0,139697.0,-0.07611088135776944,-0.0741304795752051,OPTIMAL,661,0,0
2,1000,10,10.0,146722.0,-0.07609245922262535,-0.0741304795752051,OPTIMAL,674,0,0
2,1000,10,10.0,158138.0,-0.07608365155189552,-0.0741304795752051,OPTIMAL,691,0,0
2,1000,10,10.0,172762.0,-0.0760612944807117,-0.0741304795752051,OPTIMAL,712,0,0
2,1000,10,10.0,177970.0,-0.07603590802572671,-0.0741304795752051,OPTIMAL,733,0,0
2,1000,10,10.0,183696.0,-0.07601802972192279,-0.0741304795752051,OPTIMAL,749,0,0
2,1000,10,10.0,187919.0,-0.07597292427979858,-0.0741304795752051,OPTIMAL,766,0,0
2,1000,10,10.0,193123.0,-0.07592915028620213,-0.0741304795752051,OPTIMAL,783,0,0
