seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination
2;700;10;10.0;121.674;-0.10112991845358177;-70.79094291750724;0.0009229350734384079;0.009126231757637888;928;66;OPTIMAL
3;700;10;10.0;114.999;-0.10129880814416313;-70.90916570091419;0.0010077251005047444;0.009948044986576773;804;58;OPTIMAL
4;700;10;10.0;5.463;-0.10318414835693818;-72.22890384985672;0.0010236426942761;0.00992054216249457;285;30;OPTIMAL
5;700;10;10.0;114.081;-0.10140174171691076;-70.98121920183753;0.0009537446225662966;0.009405603951349492;938;65;OPTIMAL
6;700;10;10.0;0.898;-0.10513296503243365;-73.59307552270356;0.0010067609347584883;0.009576072875409737;121;16;OPTIMAL
7;700;10;10.0;9.774;-0.10231155920620008;-71.61809144434005;0.0009915606521786607;0.009691579914056985;342;34;OPTIMAL
8;700;10;10.0;70.54;-0.10129273101736683;-70.90491171215677;0.0009951492052494432;0.009824487850750347;762;59;OPTIMAL
9;700;10;10.0;0.938;-0.10364549136827776;-72.55184395779443;0.0010199552271010354;0.009840806518798635;122;17;OPTIMAL
10;700;10;10.0;21.641;-0.10268889984542486;-71.8822298917974;0.000928159636434861;0.00903855857674975;470;43;OPTIMAL
11;700;10;10.0;27.48;-0.10170366405857666;-71.19256484100366;0.0009401269421321773;0.009243786355530978;479;42;OPTIMAL
