seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
3,400,10,20.0,78.0,-0.1953918513242667,-0.18424036658581258,OPTIMAL,26,0,0
3,400,10,20.0,84.0,-0.19376373201935004,-0.18424036658581258,OPTIMAL,31,0,0
3,400,10,20.0,92.0,-0.19218212321731587,-0.18424036658581258,OPTIMAL,37,0,0
3,400,10,20.0,112.0,-0.1908039481665386,-0.18427065007353557,OPTIMAL,45,0,0
3,400,10,20.0,119.0,-0.18963551063564058,-0.18427065007353557,OPTIMAL,50,0,0
3,400,10,20.0,127.0,-0.1887255845192558,-0.18427065007353557,OPTIMAL,57,0,0
3,400,10,20.0,136.0,-0.18805016491504598,-0.18427065007353557,OPTIMAL,63,0,0
3,400,10,20.0,150.0,-0.1877922386438448,-0.18427065007353557,OPTIMAL,71,0,0
3,400,10,20.0,165.0,-0.18711568680300858,-0.18427065007353557,OPTIMAL,75,0,0
3,400,10,20.0,197.0,-0.18686370083989648,-0.18427065007353557,OPTIMAL,91,0,0
3,400,10,20.0,229.0,-0.1867245870804664,-0.18493307364933784,OPTIMAL,101,0,0
