seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
1,50,20,20.0,52.0,-1.7527953144584947,-1.4067454933698427,OPTIMAL,38,0,0
1,50,20,20.0,59.0,-1.7501102681591476,-1.558916565262755,OPTIMAL,44,0,0
1,50,20,20.0,65.0,-1.748434752659145,-1.558916565262755,OPTIMAL,49,0,0
1,50,20,20.0,73.0,-1.7434292817541128,-1.5621261791814964,OPTIMAL,54,0,0
1,50,20,20.0,83.0,-1.7382331800901054,-1.583228428564898,OPTIMAL,59,0,0
1,50,20,20.0,93.0,-1.7345200209481897,-1.583228428564898,OPTIMAL,65,0,0
1,50,20,20.0,103.0,-1.731945164936582,-1.583228428564898,OPTIMAL,71,0,0
1,50,20,20.0,113.0,-1.7272575570721178,-1.583228428564898,OPTIMAL,77,0,0
1,50,20,20.0,124.0,-1.7238616233044712,-1.583228428564898,OPTIMAL,85,0,0
1,50,20,20.0,135.0,-1.7206085967724964,-1.5835013695538702,OPTIMAL,94,0,0
1,50,20,20.0,148.0,-1.7174077643543808,-1.5835013695538702,OPTIMAL,101,0,0
1,50,20,20.0,163.0,-1.7140626855378815,-1.5835013695538702,OPTIMAL,110,0,0
1,50,20,20.0,177.0,-1.7119172762424488,-1.5835013695538702,OPTIMAL,119,0,0
1,50,20,20.0,194.0,-1.7078906649003764,-1.5835013695538702,OPTIMAL,127,0,0
1,50,20,20.0,207.0,-1.7055281580232247,-1.5835013695538702,OPTIMAL,135,0,0
1,50,20,20.0,219.0,-1.7034679553372727,-1.5835013695538702,OPTIMAL,143,0,0
1,50,20,20.0,233.0,-1.700606443903732,-1.5835013695538702,OPTIMAL,151,0,0
1,50,20,20.0,248.0,-1.6968990052996058,-1.5835013695538702,OPTIMAL,159,0,0
1,50,20,20.0,264.0,-1.6947934104478861,-1.5835013695538702,OPTIMAL,167,0,0
1,50,20,20.0,281.0,-1.692496259634157,-1.5835013695538702,OPTIMAL,176,0,0
1,50,20,20.0,296.0,-1.6892910391656004,-1.5835013695538702,OPTIMAL,185,0,0
1,50,20,20.0,309.0,-1.6838386934962133,-1.5835013695538702,OPTIMAL,193,0,0
1,50,20,20.0,321.0,-1.6822555069135408,-1.5835013695538702,OPTIMAL,200,0,0
1,50,20,20.0,339.0,-1.6754200085016708,-1.5835013695538702,OPTIMAL,210,0,0
1,50,20,20.0,352.0,-1.672978831799652,-1.5835013695538702,OPTIMAL,218,0,0
1,50,20,20.0,366.0,-1.670007529887572,-1.5835013695538702,OPTIMAL,227,0,0
1,50,20,20.0,381.0,-1.65681655133015,-1.6550722311347343,OPTIMAL,237,0,0
