seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
8,800,10,10.0,496.0,-0.10179909348588378,-0.08464440919885813,OPTIMAL,33,0,0
8,800,10,10.0,536.0,-0.10116881891679652,-0.08464440919885813,OPTIMAL,39,0,0
8,800,10,10.0,556.0,-0.10001771557830147,-0.08720279618212796,OPTIMAL,44,0,0
8,800,10,10.0,593.0,-0.09964151611750129,-0.09200575787425784,OPTIMAL,50,0,0
8,800,10,10.0,618.0,-0.09861715715929469,-0.09200575787425784,OPTIMAL,54,0,0
8,800,10,10.0,634.0,-0.09778461927329118,-0.09200575787425784,OPTIMAL,58,0,0
8,800,10,10.0,661.0,-0.09714316781111298,-0.09200575787425784,OPTIMAL,63,0,0
8,800,10,10.0,678.0,-0.09665828066383172,-0.09200575787425784,OPTIMAL,67,0,0
8,800,10,10.0,726.0,-0.09634308339396062,-0.09200575787425784,OPTIMAL,72,0,0
8,800,10,10.0,796.0,-0.09559888067844304,-0.09200575787425784,OPTIMAL,82,0,0
8,800,10,10.0,839.0,-0.09555480174751661,-0.09200575787425784,OPTIMAL,89,0,0
8,800,10,10.0,903.0,-0.09533488399020623,-0.09200575787425784,OPTIMAL,97,0,0
8,800,10,10.0,1006.0,-0.09505948823703776,-0.09200575787425784,OPTIMAL,105,0,0
8,800,10,10.0,1103.0,-0.09494429906734263,-0.09200575787425784,OPTIMAL,111,0,0
8,800,10,10.0,1181.0,-0.09466611093794157,-0.09200575787425784,OPTIMAL,118,0,0
8,800,10,10.0,1305.0,-0.09451539390541101,-0.09200575787425784,OPTIMAL,126,0,0
8,800,10,10.0,1479.0,-0.094338071887528,-0.09200575787425784,OPTIMAL,136,0,0
8,800,10,10.0,1664.0,-0.09423141415103116,-0.09200575787425784,OPTIMAL,143,0,0
8,800,10,10.0,1833.0,-0.09421604588611047,-0.09200575787425784,OPTIMAL,148,0,0
8,800,10,10.0,2066.0,-0.09408687115955217,-0.09200575787425784,OPTIMAL,159,0,0
8,800,10,10.0,2293.0,-0.09393904997072611,-0.09200575787425784,OPTIMAL,168,0,0
8,800,10,10.0,2635.0,-0.09390010013384383,-0.09200575787425784,OPTIMAL,180,0,0
8,800,10,10.0,3041.0,-0.09382974204083942,-0.09200575787425784,OPTIMAL,190,0,0
8,800,10,10.0,3341.0,-0.09374913952691052,-0.09200575787425784,OPTIMAL,199,0,0
8,800,10,10.0,3798.0,-0.09367762864862825,-0.09200575787425784,OPTIMAL,212,0,0
8,800,10,10.0,4293.0,-0.09363010540506521,-0.09200575787425784,OPTIMAL,221,0,0
8,800,10,10.0,4911.0,-0.09346348212855954,-0.09200575787425784,OPTIMAL,231,0,0
8,800,10,10.0,5596.0,-0.0934041773318217,-0.09200575787425784,OPTIMAL,243,0,0
8,800,10,10.0,6575.0,-0.09333200273804595,-0.09200575787425784,OPTIMAL,256,0,0
8,800,10,10.0,7226.0,-0.09325379351704258,-0.09200575787425784,OPTIMAL,266,0,0
8,800,10,10.0,8322.0,-0.09316098088031621,-0.09200575787425784,OPTIMAL,278,0,0
8,800,10,10.0,9688.0,-0.09310101987353395,-0.09200575787425784,OPTIMAL,300,0,0
8,800,10,10.0,10843.0,-0.09302925323915479,-0.09200575787425784,OPTIMAL,312,0,0
8,800,10,10.0,12358.0,-0.09296216346363415,-0.09200575787425784,OPTIMAL,328,0,0
8,800,10,10.0,14397.0,-0.09282490143326277,-0.09200575787425784,OPTIMAL,343,0,0
