seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
6,300,10,20.0,68.0,-0.24543747184826425,-0.23604004756339403,OPTIMAL,31,0,0
6,300,10,20.0,78.0,-0.24543747184826425,-0.23604004756339403,OPTIMAL,38,0,0
6,300,10,20.0,81.0,-0.2433812441699625,-0.2368334894577067,OPTIMAL,43,0,0
6,300,10,20.0,85.0,-0.24110198595392482,-0.2368334894577067,OPTIMAL,48,0,0
6,300,10,20.0,88.0,-0.24101164552166582,-0.2368334894577067,OPTIMAL,52,0,0
6,300,10,20.0,90.0,-0.2403854604310563,-0.2368334894577067,OPTIMAL,55,0,0
6,300,10,20.0,94.0,-0.23968343371535214,-0.2368334894577067,OPTIMAL,60,0,0
6,300,10,20.0,98.0,-0.23932424352604675,-0.2368334894577067,OPTIMAL,65,0,0
6,300,10,20.0,125.0,-0.23855942225610674,-0.2368334894577067,OPTIMAL,80,0,0
