seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
4,400,10,20.0,95.0,-0.19495192701892533,-0.13185161459747385,OPTIMAL,34,0,0
4,400,10,20.0,101.0,-0.19366326136828887,-0.1840379089414214,OPTIMAL,39,0,0
4,400,10,20.0,108.0,-0.1921997503976948,-0.1840379089414214,OPTIMAL,45,0,0
4,400,10,20.0,114.0,-0.19196716674529168,-0.18567268814267984,OPTIMAL,53,0,0
4,400,10,20.0,121.0,-0.19092995468747337,-0.1860429699718846,OPTIMAL,60,0,0
4,400,10,20.0,132.0,-0.19023399278480396,-0.1861431852773988,OPTIMAL,68,0,0
4,400,10,20.0,152.0,-0.18944221840002812,-0.18651997244879037,OPTIMAL,77,0,0
4,400,10,20.0,163.0,-0.18891417999573354,-0.18651997244879037,OPTIMAL,85,0,0
4,400,10,20.0,172.0,-0.18855883173078122,-0.18651997244879037,OPTIMAL,90,0,0
4,400,10,20.0,175.0,-0.1884150469801729,-0.18651997244879037,OPTIMAL,93,0,0
4,400,10,20.0,179.0,-0.18801180682468088,-0.18651997244879037,OPTIMAL,97,0,0
