seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
7,300,10,20.0,51.0,-0.2455416344103904,-0.2364351672693656,OPTIMAL,23,0,0
7,300,10,20.0,58.0,-0.24404638347160953,-0.2364351672693656,OPTIMAL,30,0,0
7,300,10,20.0,62.0,-0.24404638347160953,-0.23707224488677242,OPTIMAL,34,0,0
7,300,10,20.0,67.0,-0.24278971462835003,-0.23707224488677242,OPTIMAL,40,0,0
7,300,10,20.0,71.0,-0.24193485090699005,-0.23707224488677242,OPTIMAL,47,0,0
7,300,10,20.0,76.0,-0.24109191062713986,-0.23707224488677242,OPTIMAL,54,0,0
7,300,10,20.0,83.0,-0.24081511760639537,-0.23707224488677242,OPTIMAL,61,0,0
7,300,10,20.0,88.0,-0.24020015994791657,-0.23707224488677242,OPTIMAL,66,0,0
7,300,10,20.0,139.0,-0.2394629343536059,-0.23707224488677242,OPTIMAL,85,0,0
7,300,10,20.0,175.0,-0.23897538765470727,-0.23707224488677242,OPTIMAL,100,0,0
