seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
11,400,10,20.0,136.0,-0.19152762515914998,-0.18050297396234183,OPTIMAL,34,0,0
11,400,10,20.0,138.0,-0.19072381494188803,-0.18124983303287376,OPTIMAL,37,0,0
11,400,10,20.0,142.0,-0.1901162493236381,-0.18152216564938317,OPTIMAL,41,0,0
11,400,10,20.0,153.0,-0.18893266895362326,-0.18223206144746623,OPTIMAL,47,0,0
11,400,10,20.0,161.0,-0.1879041005958816,-0.18223206144746623,OPTIMAL,53,0,0
11,400,10,20.0,166.0,-0.18768510944195935,-0.1824449927866426,OPTIMAL,58,0,0
11,400,10,20.0,183.0,-0.18641004979337514,-0.1833317186979634,OPTIMAL,67,0,0
11,400,10,20.0,203.0,-0.18624779628703994,-0.1833317186979634,OPTIMAL,80,0,0
11,400,10,20.0,212.0,-0.18603594470134266,-0.1833317186979634,OPTIMAL,89,0,0
11,400,10,20.0,234.0,-0.18582738203287097,-0.1833317186979634,OPTIMAL,98,0,0
11,400,10,20.0,255.0,-0.1853925668142975,-0.18383627785916154,OPTIMAL,107,0,0
