seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
4,900,10,10.0,673.0,-0.0928625832200592,-0.08180144128825137,OPTIMAL,30,0,0
4,900,10,10.0,711.0,-0.09198279805464948,-0.08180144128825137,OPTIMAL,37,0,0
4,900,10,10.0,789.0,-0.09000257522122658,-0.08180144128825137,OPTIMAL,45,0,0
4,900,10,10.0,810.0,-0.09000257522122658,-0.08180144128825137,OPTIMAL,49,0,0
4,900,10,10.0,835.0,-0.08895767995080307,-0.08180144128825137,OPTIMAL,55,0,0
4,900,10,10.0,920.0,-0.08805157505282003,-0.08180144128825137,OPTIMAL,62,0,0
4,900,10,10.0,950.0,-0.08731822153690279,-0.08180144128825137,OPTIMAL,68,0,0
4,900,10,10.0,999.0,-0.0872475967776526,-0.08180144128825137,OPTIMAL,74,0,0
4,900,10,10.0,1033.0,-0.08682927989294272,-0.08180144128825137,OPTIMAL,80,0,0
4,900,10,10.0,1091.0,-0.08682927989294272,-0.08180144128825137,OPTIMAL,85,0,0
4,900,10,10.0,1160.0,-0.08614132178667869,-0.08180144128825137,OPTIMAL,95,0,0
4,900,10,10.0,1250.0,-0.08614132178667869,-0.08180144128825137,OPTIMAL,103,0,0
4,900,10,10.0,1366.0,-0.08599285615052724,-0.08180144128825137,OPTIMAL,113,0,0
4,900,10,10.0,1482.0,-0.08589141814456949,-0.08180144128825137,OPTIMAL,121,0,0
4,900,10,10.0,1613.0,-0.08574162344294148,-0.08180144128825137,OPTIMAL,130,0,0
4,900,10,10.0,1695.0,-0.08564426216995485,-0.08180144128825137,OPTIMAL,137,0,0
4,900,10,10.0,1885.0,-0.08550729165771898,-0.08180144128825137,OPTIMAL,147,0,0
4,900,10,10.0,2152.0,-0.0854246368450087,-0.08180144128825137,OPTIMAL,160,0,0
4,900,10,10.0,2338.0,-0.08530857588379928,-0.08180144128825137,OPTIMAL,173,0,0
4,900,10,10.0,2723.0,-0.08525778534518613,-0.08180144128825137,OPTIMAL,186,0,0
4,900,10,10.0,2959.0,-0.08523552797271418,-0.08180144128825137,OPTIMAL,194,0,0
4,900,10,10.0,3636.0,-0.08506496832305205,-0.08180144128825137,OPTIMAL,204,0,0
4,900,10,10.0,4249.0,-0.08500432700499308,-0.08180144128825137,OPTIMAL,217,0,0
4,900,10,10.0,4670.0,-0.08495845995028115,-0.08180144128825137,OPTIMAL,230,0,0
4,900,10,10.0,5505.0,-0.08486773570877457,-0.08180144128825137,OPTIMAL,242,0,0
4,900,10,10.0,6385.0,-0.08479206849065014,-0.08180144128825137,OPTIMAL,256,0,0
4,900,10,10.0,7031.0,-0.08473664901293085,-0.08180144128825137,OPTIMAL,271,0,0
4,900,10,10.0,7711.0,-0.0846770683187306,-0.08180144128825137,OPTIMAL,282,0,0
4,900,10,10.0,9525.0,-0.08462025852958993,-0.08180144128825137,OPTIMAL,296,0,0
4,900,10,10.0,11641.0,-0.08456470239836665,-0.08180144128825137,OPTIMAL,313,0,0
4,900,10,10.0,15056.0,-0.08450137558799041,-0.08180144128825137,OPTIMAL,329,0,0
4,900,10,10.0,16893.0,-0.08447294220623168,-0.08180144128825137,OPTIMAL,346,0,0
4,900,10,10.0,19167.0,-0.08441242192895666,-0.08180144128825137,OPTIMAL,361,0,0
4,900,10,10.0,20163.0,-0.08434915936378368,-0.08180144128825137,OPTIMAL,378,0,0
4,900,10,10.0,23299.0,-0.08428675504272655,-0.08180144128825137,OPTIMAL,391,0,0
4,900,10,10.0,28396.0,-0.08424124105288575,-0.08180144128825137,OPTIMAL,409,0,0
4,900,10,10.0,32295.0,-0.08422347826354619,-0.08180144128825137,OPTIMAL,423,0,0
4,900,10,10.0,35705.0,-0.08419224867883236,-0.08180144128825137,OPTIMAL,434,0,0
4,900,10,10.0,39785.0,-0.08413374837833396,-0.08180144128825137,OPTIMAL,454,0,0
4,900,10,10.0,43433.0,-0.08409984498556347,-0.08180144128825137,OPTIMAL,469,0,0
4,900,10,10.0,50490.0,-0.08405083283700657,-0.08180144128825137,OPTIMAL,483,0,0
4,900,10,10.0,52736.0,-0.08400567720471329,-0.08180144128825137,OPTIMAL,498,0,0
4,900,10,10.0,57734.0,-0.0838236024530453,-0.08180144128825137,OPTIMAL,518,0,0
4,900,10,10.0,61743.0,-0.08373915106585832,-0.08180144128825137,OPTIMAL,533,0,0
4,900,10,10.0,69034.0,-0.08362709095109835,-0.08180144128825137,OPTIMAL,554,0,0
4,900,10,10.0,70561.0,-0.0835817616716561,-0.08180144128825137,OPTIMAL,567,0,0
4,900,10,10.0,74838.0,-0.08352429771389724,-0.08180144128825137,OPTIMAL,586,0,0
4,900,10,10.0,77130.0,-0.08347911622308297,-0.08180144128825137,OPTIMAL,606,0,0
4,900,10,10.0,82282.0,-0.08345080443245441,-0.08180144128825137,OPTIMAL,625,0,0
4,900,10,10.0,85506.0,-0.08342318108462699,-0.08180144128825137,OPTIMAL,638,0,0
4,900,10,10.0,91938.0,-0.08338840477801293,-0.08180144128825137,OPTIMAL,655,0,0
4,900,10,10.0,97481.0,-0.08333891688823611,-0.08180144128825137,OPTIMAL,669,0,0
4,900,10,10.0,100403.0,-0.08326696773053782,-0.08180144128825137,OPTIMAL,683,0,0
4,900,10,10.0,103496.0,-0.0832140770067189,-0.08180144128825137,OPTIMAL,701,0,0
4,900,10,10.0,107271.0,-0.08314105855079715,-0.08180144128825137,OPTIMAL,725,0,0
4,900,10,10.0,116413.0,-0.0831065391915729,-0.08180144128825137,OPTIMAL,741,0,0
4,900,10,10.0,120698.0,-0.08308255152778979,-0.08180144128825137,OPTIMAL,760,0,0
4,900,10,10.0,122444.0,-0.0830422600633579,-0.08180144128825137,OPTIMAL,775,0,0
4,900,10,10.0,126274.0,-0.08302067990704466,-0.08180144128825137,OPTIMAL,792,0,0
4,900,10,10.0,131438.0,-0.08295004766679255,-0.08180144128825137,OPTIMAL,814,0,0
4,900,10,10.0,140155.0,-0.0829299840589126,-0.08180144128825137,OPTIMAL,833,0,0
4,900,10,10.0,151328.0,-0.08291144292463923,-0.08180144128825137,OPTIMAL,848,0,0
4,900,10,10.0,157316.0,-0.08286591427153299,-0.08180144128825137,OPTIMAL,868,0,0
4,900,10,10.0,163285.0,-0.08284807692867656,-0.08180144128825137,OPTIMAL,887,0,0
4,900,10,10.0,174434.0,-0.08282029041894139,-0.08180144128825137,OPTIMAL,907,0,0
4,900,10,10.0,183819.0,-0.08279599351249028,-0.08180144128825137,OPTIMAL,927,0,0
4,900,10,10.0,190821.0,-0.08275642201282991,-0.08180144128825137,OPTIMAL,945,0,0
4,900,10,10.0,196578.0,-0.08272222480479804,-0.08180144128825137,OPTIMAL,961,0,0
4,900,10,10.0,203278.0,-0.08267674212819778,-0.08180144128825137,OPTIMAL,981,0,0
4,900,10,10.0,211213.0,-0.08263151806259844,-0.08180144128825137,OPTIMAL,1000,0,0
4,900,10,10.0,214091.0,-0.08260089950800785,-0.08180144128825137,OPTIMAL,1016,0,0
