seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
11,300,10,20.0,105.0,-0.2455782131913645,-0.2345479590884258,OPTIMAL,34,0,0
11,300,10,20.0,115.0,-0.24161419441481713,-0.23477783142133263,OPTIMAL,41,0,0
11,300,10,20.0,117.0,-0.24101471987200127,-0.23477783142133263,OPTIMAL,44,0,0
11,300,10,20.0,121.0,-0.24036785715794373,-0.23477783142133263,OPTIMAL,49,0,0
11,300,10,20.0,127.0,-0.2393443874038083,-0.23477783142133263,OPTIMAL,54,0,0
11,300,10,20.0,130.0,-0.23915090446786927,-0.23477783142133263,OPTIMAL,58,0,0
11,300,10,20.0,135.0,-0.2388382617421431,-0.23545744663886375,OPTIMAL,63,0,0
11,300,10,20.0,148.0,-0.23832545564298369,-0.23545744663886375,OPTIMAL,70,0,0
11,300,10,20.0,156.0,-0.23760711321863465,-0.23545744663886375,OPTIMAL,79,0,0
